"","PN01271PM"
"","Índice de precios Lima Metropolitana (var% mensual) - IPC"
Feb70,-0.363178999999981
Mar70,0.602832000000026
Abr70,0.425027999999964
May70,-0.215083999999972
Jun70,1.06383000000006
Jul70,0.240797999999984
Ago70,0.363761000000318
Sep70,0.861656000000128
Oct70,0.800053999999564
Nov70,0.363221000000245
Dic70,0.703705999999591
Ene71,0.432584000000213
Feb71,0.530116999999776
Mar71,0.771207999999881
Abr71,0.202773000000498
May71,0.41778199999962
Jun71,0.461547999999765
Jul71,1.59182100000075
Ago71,0.687897999999456
Sep71,-0.600962000000082
Oct71,0.814612000000117
Nov71,0.934283999999853
Dic71,1.18206300000071
Ene72,0.56249199999922
Feb72,0.952732000000501
Mar72,4.262056
Abr72,-2.85564099999982
May72,-0.895702000000485
Jun72,1.36479400000022
Jul72,-0.68218500000044
Ago72,0.349461000000161
Sep72,1.09876900000051
Oct72,0.62358899999979
Nov72,-0.720061000000264
Dic72,0.32697199999987
Ene73,0.906613000000092
Feb73,1.07463700000035
Mar73,1.94631699999998
Abr73,0.928933999999971
May73,2.14567999999986
Jun73,1.33775600000031
Jul73,1.00370899999949
Ago73,0.78310700000006
Sep73,1.51117300000029
Oct73,0.464551999999785
Nov73,0.746150999999847
Dic73,0.130392000000399
Ene74,1.81939399999993
Feb74,2.2640099999999
Mar74,1.5094680000002
Abr74,1.53208400000014
May74,2.50310699999944
Jun74,2.26879100000013
Jul74,0.821338000000357
Ago74,0.369531000000044
Sep74,1.22165499999944
Oct74,0.0909320000002735
Nov74,1.89957100000012
Dic74,1.37785700000013
Ene75,2.80620399999971
Feb75,3.58503799999979
Mar75,1.40390400000008
Abr75,2.0063670000003
May75,1.48062099999969
Jun75,1.70218900000033
Jul75,4.88748199999993
Ago75,1.42138799999971
Sep75,0.97177200000017
Oct75,0.982060999999901
Nov75,0.35010400000042
Dic75,0.213205999999619
Ene76,6.9370120000003
Feb76,2.07391299999985
Mar76,1.60652099999989
Abr76,0.685927000000377
May76,0.577333999999627
Jun76,0.585500000000115
Jul76,13.7134049999999
Ago76,3.89440900000004
Sep76,3.43445100000009
Oct76,2.26964899999993
Nov76,0.940681999999885
Dic76,1.52454200000021
Ene77,3.53800899999997
Feb77,1.523498
Mar77,2.12802000000016
Abr77,1.56483499999987
May77,1.79410700000001
Jun77,7.28280099999994
